time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
1/3/2022 17:00,0,0,3.718688,61.000046,161.24188,0.0565647,1.2517701
1/3/2022 18:00,0,0,3.820489,60.175373,162.52267,0.04461063,1.281478
1/3/2022 19:00,0,0,3.78186,59.533073,163.34549,0.041455425,1.294244
1/3/2022 20:00,0,0,3.6335213,59.259884,163.81537,0.03655463,1.3095757
1/3/2022 21:00,0,0,3.454684,59.088818,163.93515,0.03074348,1.2888904
1/3/2022 22:00,0,0,3.2656949,58.82686,163.55948,0.025475968,1.2572103
1/3/2022 23:00,0,0,2.8595121800000003,58.71534,162.6987,0.02034053,1.2247791
1/4/2022 0:00,0,0,2.8382232,58.679573,161.73228,0.015426713,1.1965675
1/4/2022 1:00,0,0,2.6369376,58.684273,160.99603,0.012104292,1.1743299
1/4/2022 2:00,0,0,2.5197332,58.681007,159.95921,0.01040332,1.1563495
1/4/2022 3:00,0,0,2.4288256,58.64857,159.59232,0.01002208,1.1517488
1/4/2022 4:00,0,0,2.4151142,58.58734,159.78925,0.014377865,1.1642015
1/4/2022 5:00,0,0,2.5185926,58.4372,160.34077,0.030769369,1.1949964
1/4/2022 6:00,0,0,2.7944553,58.20924,161.05879,0.0774131,1.227694
1/4/2022 7:00,0,0,3.04624,58.183777,161.4443,0.15322362,1.2642093
1/4/2022 8:00,0,0,3.1767366,58.45545,161.22844,0.25470915,1.2962458
1/4/2022 9:00,0,0,3.0708601,59.170315,160.30275,0.3508854,1.3105845
1/4/2022 10:00,0,0,2.9041483,60.2663,159.5174,0.3903487,1.3078467
1/4/2022 11:00,0,0,2.8143728,61.309498,158.63065,0.3844263,1.2996556
1/4/2022 12:00,0,0,2.8010223,62.30234,158.31262,0.34424406,1.2918321
1/4/2022 13:00,0,0,2.9118543,62.845795,158.41853,0.281844,1.283588
1/4/2022 14:00,0,0,3.120408,62.965843,159.26762,0.20267239,1.2865442
1/4/2022 15:00,0,0,3.393444,62.666027,160.54753,0.12962438,1.3052673
1/4/2022 16:00,0,0,3.650645,62.114307,162.42473,0.08687069,1.3160487
1/4/2022 17:00,0,0,3.8124208,61.59456,164.37572,0.06297425,1.3379321
1/4/2022 18:00,0,0,3.808892,61.172714,165.63535,0.055050034,1.3529866
1/4/2022 19:00,0,0,3.683418,60.9858,166.14099,0.048735872,1.3567195
1/4/2022 20:00,0,0,3.4916565,60.939938,165.985,0.042574257,1.3508345
1/4/2022 21:00,0,0,3.2617233,61.01657,165.65367,0.035634488,1.3271682
1/4/2022 22:00,0,0,3.0429885,61.092842,164.55507,0.028986556,1.291126
1/4/2022 23:00,0,0,2.8268154,61.138565,163.46242,0.023474101,1.259959
1/5/2022 0:00,0,0,2.6155012,61.178795,162.24179,0.018964892,1.2257549
1/5/2022 1:00,0,0,2.424575,61.1606,161.08272,0.014753858,1.196124
1/5/2022 2:00,0,0,2.302205,61.120937,160.28944,0.012977209,1.18209
1/5/2022 3:00,0,0,2.2151518,61.13219,159.8323,0.011990504,1.1765176
